SCHID,C0110,C0112,C0114,C0116,C0120,C0121,C0122,C0125,C0129,C0134,C0136,C0138,C0140,C0139,C0141,C0143,C0142,C0144,C0146,C0150,C0153,C0155,C0158,C0162,C0166,C0170,C0169,C0161,C0157,C0163,C0165,C0167,C0174,C0183,C0176,C0181,C0175,C0177,C0179,C0186,C0600,C0602,C0604,C0606,C0608,C0190,C0192,C0196,C0198,C0204,C0206,C0208,C0210,C0212,C0214,C0216,C0218,C0610,C0612,C0614,C0616,C0618,C0621,C0622,C0624,C0626,C0628,C0630,C0632,C0636,C0638,C0640,C0642,C0644,C0646,C0648,C0650,C0652,C0654,C0656,C0658,C0660,C0661,C0663,C0665,C0667,C0669,C0671,C0674,C0676,C0678,C0681,C0682,C0684,C0686,C0266,C0268,C0265,C0267,C0269,C0270,C0272,C0278,C0271,C0273,C0274,C0276,C0277,C0279,C0280,C0282,C0284,C0286,C0288,C0290,C0292,C0294,C0296,C0298,C0300,C0302,C0304,C0690_R,C0705,C0688,C0374,C0376,C0378,C0381,C0383,C0385,C0387,C0382,C0380,C0384,C0386,C0389,C0391,C0393,C0402,C0404,C0406,C0408,C0410,C0412,C0422,C0424,C0426,C0428,C0430,C0432,C0434,C0436,C0442,C0444,C0446,C0448,C0450,C0452,C0454,C0456,C0532,C0534,C0536,C0538,C0560,C0562,C0568,C0570,C0572,C0578,C0578_DD,C0578_MM,C0578_YY,C0578_SOURCE,C0014_R,C0016_R,C0580,STRATA,CRISIS18,DISALC18,DISDRUG18,DISFIRE18,DISWEAP18,INCID18,INCPOL18,NONVIOINC18,NONVIOPOL18,OTHACT18,OUTSUS18,PROBWK18,SEC_FT18,SEC_PT18,STUOFF18,SVINC18,SVPOL18,VIOINC18,VIOPOL18,FR_URBAN,FR_LVEL,FR_SIZE,FINALWGT,REPFWT1,REPFWT2,REPFWT3,REPFWT4,REPFWT5,REPFWT6,REPFWT7,REPFWT8,REPFWT9,REPFWT10,REPFWT11,REPFWT12,REPFWT13,REPFWT14,REPFWT15,REPFWT16,REPFWT17,REPFWT18,REPFWT19,REPFWT20,REPFWT21,REPFWT22,REPFWT23,REPFWT24,REPFWT25,REPFWT26,REPFWT27,REPFWT28,REPFWT29,REPFWT30,REPFWT31,REPFWT32,REPFWT33,REPFWT34,REPFWT35,REPFWT36,REPFWT37,REPFWT38,REPFWT39,REPFWT40,REPFWT41,REPFWT42,REPFWT43,REPFWT44,REPFWT45,REPFWT46,REPFWT47,REPFWT48,REPFWT49,REPFWT50,IC0110,IC0112,IC0114,IC0116,IC0120,IC0121,IC0122,IC0125,IC0129,IC0134,IC0136,IC0138,IC0140,IC0139,IC0141,IC0143,IC0142,IC0144,IC0146,IC0150,IC0153,IC0155,IC0158,IC0162,IC0166,IC0170,IC0169,IC0161,IC0157,IC0163,IC0165,IC0167,IC0174,IC0183,IC0176,IC0181,IC0175,IC0177,IC0179,IC0186,IC0600,IC0602,IC0604,IC0606,IC0608,IC0190,IC0192,IC0196,IC0198,IC0204,IC0206,IC0208,IC0210,IC0212,IC0214,IC0216,IC0218,IC0610,IC0612,IC0614,IC0616,IC0618,IC0621,IC0622,IC0624,IC0626,IC0628,IC0630,IC0632,IC0636,IC0638,IC0640,IC0642,IC0644,IC0646,IC0648,IC0650,IC0652,IC0654,IC0656,IC0658,IC0660,IC0661,IC0663,IC0665,IC0667,IC0669,IC0671,IC0674,IC0676,IC0678,IC0681,IC0682,IC0684,IC0686,IC0266,IC0268,IC0265,IC0267,IC0269,IC0270,IC0272,IC0278,IC0271,IC0273,IC0274,IC0276,IC0277,IC0279,IC0280,IC0282,IC0284,IC0286,IC0288,IC0290,IC0292,IC0294,IC0296,IC0298,IC0300,IC0302,IC0304,IC0705,IC0688,IC0374,IC0376,IC0378,IC0381,IC0383,IC0385,IC0387,IC0382,IC0380,IC0384,IC0386,IC0389,IC0391,IC0393,IC0402,IC0404,IC0406,IC0408,IC0410,IC0412,IC0422,IC0424,IC0426,IC0428,IC0430,IC0432,IC0434,IC0436,IC0442,IC0444,IC0446,IC0448,IC0450,IC0452,IC0454,IC0456,IC0532,IC0534,IC0536,IC0538,IC0560,IC0562,IC0568,IC0570,IC0572,IC0578,IC0580
2928,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,-1,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,3,3,3,3,2,-1,-1,2,-1,-1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,2,2,1,1,2,1,3,1,1,2,1,1,1,1,2,2,1,5,4,4,4,5,5,4,4,4,4,4,4,4,4,2,-1,2,-1,1,1,1,1,1,2,2,-1,1,1,2,-1,1,1,1,1,2,-1,40,15,40,7,3,3,91,15,7,04022018,2,4,2018,2,1,2,160,214,7,-1,1,-1,2,11,2,8,2,0,6,0,1,0,16,0,0,3,0,4,2,1,24.8751,25.0190,25.2003,25.4100,25.5241,25.6656,25.4266,24.9687,25.1639,25.1219,25.4681,25.0884,25.6432,25.4899,25.6589,25.7145,25.3462,25.4664,25.1862,25.2293,25.4191,25.6037,25.2055,25.5749,0.0000,25.2951,25.1242,25.6014,25.4590,25.4335,25.8616,25.7111,25.4562,25.7409,25.5745,25.6332,25.6055,25.0295,25.3976,25.4212,25.3708,25.1619,25.6644,25.2199,25.0590,25.3778,25.5829,24.9954,25.2633,24.8406,25.3113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3775,1,1,1,2,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,4,3,4,4,4,5,4,5,4,4,5,2,4,2,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,8,98,98,5,3,3,96,72,73,03052018,5,3,2018,0,4,5,60,334,6,-1,3,-1,3,22,4,10,3,3,0,0,3,3,11,1,1,12,1,4,3,3,14.4831,14.6882,14.7865,14.8890,14.8847,15.0358,14.9019,14.9723,14.7069,14.8533,14.8196,15.1198,14.5606,14.9188,15.0532,14.5573,14.5401,15.0227,14.5885,14.4395,14.5862,15.0114,14.7499,14.9293,14.4845,14.6786,14.7700,0.0000,14.9887,14.7420,14.7646,14.7167,15.0897,14.8921,14.5671,14.8584,14.8194,14.7945,14.6902,14.8191,14.5812,14.6944,14.6975,14.9411,14.9479,14.7077,14.7250,14.8400,14.6920,14.6733,14.5659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3060,1,1,1,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,1,2,-1,2,1,1,1,2,4,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,3,1,1,1,1,2,-1,-1,2,-1,-1,1,1,3,3,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,4,4,5,4,4,5,5,5,4,5,5,4,4,4,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,65,85,90,7,3,3,95,34,30,05162018,16,5,2018,2,1,3,85,233,7,-1,-1,-1,-1,28,0,4,0,3,8,0,2,0,21,0,0,24,0,3,2,3,11.7560,11.9818,12.2078,12.2993,12.0368,12.1109,11.9797,12.1245,12.4408,12.3043,12.1480,12.3063,11.9493,11.9849,12.0826,12.0043,12.0037,12.2178,12.0550,12.0474,12.0506,12.1176,11.9101,12.0521,11.8836,12.0904,11.9510,11.5875,11.9358,11.7663,11.9374,11.6059,11.8413,11.8904,12.1112,11.7820,11.9236,11.8747,11.7918,11.9251,11.7741,0.0000,11.8578,11.8686,12.0111,12.1286,11.8173,11.8449,11.9598,11.9875,12.3617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3625,1,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,-1,2,2,2,1,1,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,5,5,5,5,4,4,4,4,5,4,4,4,2,-1,2,-1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,20,40,85,4,4,3,92,122,226,05312018,31,5,2018,0,2,3,-2,343,5,-1,3,-1,-1,78,0,22,0,0,0,0,0,5,52,2,0,56,0,3,3,4,11.5356,11.7431,11.8804,11.7487,11.9395,11.8438,11.9437,11.8165,11.5767,11.5885,11.5001,11.6429,11.9001,0.0000,11.8646,11.9118,11.6461,11.6547,12.0060,11.7003,11.8303,11.7080,11.8682,11.6958,11.7336,11.8093,11.5052,11.6648,11.5247,11.6113,11.6771,11.8531,11.3731,11.7615,11.5682,11.4454,11.9526,11.7144,11.9842,11.6856,11.9074,11.6347,11.7500,11.6294,12.0108,11.8630,11.7998,12.0105,11.9341,12.1684,12.1280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0
3243,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,3,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,1,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,4,4,4,5,5,5,4,4,4,3,4,3,3,4,2,-1,2,-1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,30,25,55,3,4,3,95,51,38,04092018,9,4,2018,0,1,1,75,342,7,-1,13,-1,1,36,12,18,8,16,14,0,3,0,30,1,1,18,4,2,3,4,9.6961,9.8404,9.8262,10.0494,9.7414,9.9016,9.7826,9.9812,9.8216,9.9897,9.9078,9.8985,9.9325,9.9776,9.6853,10.0119,9.8409,9.9453,9.8180,9.9546,9.9612,9.9642,9.8841,0.0000,9.8951,9.8931,10.0466,9.8967,9.8727,9.9846,9.8993,9.9184,9.8207,10.0227,10.0424,9.8307,9.9412,9.6439,10.0158,9.9735,9.9539,9.7610,9.9143,9.8961,9.8134,9.7951,9.8167,9.9133,9.7651,9.9236,9.8240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0
2836,1,1,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,2,2,2,4,4,1,1,2,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,1,1,1,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,2,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,1,5,4,5,5,5,5,5,5,5,4,5,5,5,5,2,-1,2,-1,1,2,1,1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,40,80,90,4,3,3,98,15,20,03012018,1,3,2018,0,4,1,40,111,3,-1,-1,-1,-1,2,0,0,0,2,0,0,0,0,2,0,0,2,0,1,1,1,134.4564,141.7534,140.5194,135.5958,140.1355,140.4795,134.5494,140.0015,138.5425,137.1915,136.0564,139.0841,140.4203,136.5909,135.1630,139.5068,137.1893,139.1524,135.7908,136.0714,135.5934,135.5160,133.3024,136.6139,135.6722,0.0000,136.5734,133.5893,138.0732,134.9352,137.5817,138.1694,137.0566,135.6552,135.4460,137.3783,137.6586,137.5570,135.0234,137.6665,136.6531,136.6211,137.4729,135.3213,137.4768,139.2841,138.0801,136.6969,136.9932,139.8805,135.4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,-1,2,2,2,1,1,4,4,1,2,2,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,2,3,3,2,3,1,2,2,2,2,1,2,2,2,2,2,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,5,4,5,5,5,5,5,5,5,4,5,5,5,5,2,-1,1,2,1,1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,1,95,100,4,3,3,98,30,30,04032018,3,4,2018,0,1,3,25,132,4,-1,-1,-1,-1,10,0,0,0,10,0,0,1,0,10,0,0,10,0,2,1,3,60.9483,62.5454,0.0000,61.4348,61.0536,63.7123,63.9445,62.6186,61.4082,62.0036,62.8170,61.1892,61.5648,61.5627,61.1681,63.0139,62.8759,62.7033,62.4304,62.8146,62.1067,61.9943,61.5485,61.8437,63.4631,63.0441,61.8919,61.9591,64.1211,61.5489,60.8083,63.1720,62.4337,62.2034,61.3635,62.4499,62.1331,61.1959,63.8724,61.0602,63.0722,60.8838,61.6882,60.7203,63.1428,63.1895,61.5890,61.1202,61.2334,62.1295,62.4599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3578,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,-1,1,1,2,1,2,2,3,1,1,1,1,1,2,2,2,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,1,1,2,2,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,1,3,3,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,2,1,3,2,2,2,2,3,1,2,1,2,2,2,2,4,4,3,4,4,4,5,5,5,3,4,5,2,3,3,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,2,-1,20,48,70,6,2,3,94,12,7,02282018,28,2,2018,0,1,5,25,341,5,5,17,-1,1,47,45,36,36,4,23,0,5,0,27,3,3,11,9,1,3,4,8.7945,9.1003,8.9940,8.9953,8.8581,8.8897,8.8988,8.9239,8.9834,9.1655,9.0516,9.0091,9.0237,9.1708,8.8784,9.0477,9.0787,9.0237,8.9328,8.7981,8.9374,8.9395,8.8182,8.7700,8.8433,8.9672,8.8574,8.8866,8.8093,8.8342,0.0000,9.0992,8.8651,9.0238,8.8700,8.9438,8.9538,8.9089,9.0547,9.1303,9.1542,8.9031,8.9690,8.9707,9.0326,9.1490,9.0400,9.0882,8.9783,8.9318,9.2283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0742,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,2,1,2,1,2,1,2,1,1,1,2,2,2,1,1,1,2,2,2,2,-1,1,1,1,1,2,2,5,2,1,2,2,1,1,2,2,1,2,2,1,2,1,1,1,2,2,1,1,1,2,2,2,1,2,2,2,-1,-1,-1,-1,-1,1,1,2,2,-1,-1,3,3,3,2,3,3,3,1,2,2,2,2,1,2,1,2,2,2,1,1,2,2,3,3,3,3,3,3,2,2,3,3,3,3,2,2,2,3,1,3,5,4,5,4,4,4,4,4,3,4,4,2,-1,1,1,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,2,-1,20,70,85,4,1,2,93,91,66,03062018,6,3,2018,0,1,13,75,343,4,3,5,-1,2,35,7,21,6,8,8,1,6,0,16,0,0,14,1,3,3,4,10.6074,10.9272,11.0454,10.9322,10.9883,10.7991,10.7092,10.7696,11.1814,10.9033,10.8220,10.9083,10.7193,10.7894,10.9001,10.8028,10.5889,10.9083,10.8222,10.7542,10.6987,10.8386,10.7679,10.9098,10.8116,11.0341,10.6707,10.5237,10.5422,10.6135,10.6263,10.6134,10.4755,10.7524,11.0626,10.4743,10.8754,10.6637,11.0490,0.0000,10.8041,10.8828,10.6696,10.8342,11.0229,11.0514,10.8298,10.8709,10.9204,11.0862,11.2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1772,1,1,1,2,2,2,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,-1,-1,1,1,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,5,5,5,5,5,4,5,5,4,5,4,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,2,2,-1,1,1,1,1,1,2,70,55,65,4,3,3,95,15,10,03012018,1,3,2018,0,1,5,45,223,6,7,2,-1,-1,24,21,10,10,17,0,0,3,0,17,0,0,14,11,3,2,2,23.5126,24.1474,24.4851,24.2024,23.9665,24.1063,24.1506,23.9464,24.7341,0.0000,24.3696,24.3784,24.0625,23.9545,24.2315,24.2363,23.6040,24.3057,23.9794,23.7784,24.0078,24.1232,23.9437,23.9948,24.0462,24.2916,24.2383,23.3541,23.4355,23.3171,23.7171,23.2978,23.7126,23.9251,23.9774,23.5193,23.9337,23.9122,23.8652,23.8422,23.8490,23.7971,23.8940,24.0439,24.0570,24.3573,23.8374,23.4304,24.0801,24.0849,24.6261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0403,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,2,2,2,2,2,-1,2,1,2,1,1,3,4,2,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,-1,-1,2,1,2,3,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,3,2,1,2,3,2,2,2,2,2,1,4,3,4,5,5,5,4,4,4,4,5,4,4,4,2,-1,2,-1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,-1,30,25,50,1,2,2,95,20,20,04102018,10,4,2018,0,1,3,30,112,5,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,2,1,1,105.7144,108.8445,108.8395,108.2160,110.6848,110.1251,105.5884,109.9113,107.7252,106.6065,106.7661,105.3562,109.6678,107.5363,107.9662,109.8927,103.4642,110.5993,107.0130,107.9079,105.4656,106.8100,105.6620,107.8697,107.4140,107.9361,106.9070,107.6964,109.4708,106.5539,108.5938,107.4522,110.8876,107.8204,107.6429,108.7943,107.7150,107.5132,106.0127,108.5415,106.6864,109.4609,109.8418,103.5314,108.1367,110.0435,110.9813,107.2301,0.0000,108.6782,106.8191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
